precinct,address,lon,lat
1,64 fulton st,-74.00534926,40.70873164
1,64 fulton st,-74.00534926,40.70873164
1,64 fulton st,-74.00534926,40.70873164
1,64 fulton st,-74.00534926,40.70873164
1,111 bway,-74.01163732,40.70871377
1,280 rector pl,-74.01685823,40.70866687
1,140 bway,-74.01011409,40.70865065
1,140 bway,-74.01011409,40.70865065
1,140 bway,-74.01011409,40.70865065
1,140 bway,-74.01011409,40.70865065
1,140 bway,-74.01011409,40.70865065
1,140 bway,-74.01011409,40.70865065
1,200 rector pl,-74.01639785,40.70847116
1,200 rector pl,-74.01639785,40.70847116
1,265 water st,-74.00134645,40.70839137
1,15 cliff st,-74.00563371,40.70837387
1,21 s e ave,-74.01811686,40.70831323
1,21 s e ave,-74.01811686,40.70831323
1,21 s e ave,-74.01811686,40.70831323
1,33 rector st,-74.01495269,40.70830816
1,49 fulton st,-74.00411611,40.70826639
1,49 fulton st,-74.00411611,40.70826639
1,49 fulton st,-74.00411611,40.70826639
1,120 bway,-74.01051816,40.70821939
1,120 bway,-74.01051816,40.70821939
1,120 bway,-74.01051816,40.70821939
1,120 bway,-74.01051816,40.70821939
1,120 bway,-74.01051816,40.70821939
1,120 bway,-74.01051816,40.70821939
1,120 bway,-74.01051816,40.70821939
1,120 bway,-74.01051816,40.70821939
1,120 bway,-74.01051816,40.70821939
1,90 william st,-74.00747292,40.70807913
1,90 washington st,-74.01484697,40.70807391
1,90 washington st,-74.01484697,40.70807391
1,251 water st,-74.00207698,40.70804336
1,160 s st,-74.00032895,40.70798995
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,100 bway,-74.0111179,40.7079672
1,2 s e ave,-74.01724336,40.70792322
1,2 s e ave,-74.01724336,40.70792322
1,2 s e ave,-74.01724336,40.70792322
1,2 s e ave,-74.01724336,40.70792322
1,2 s e ave,-74.01724336,40.70792322
1,2 s e ave,-74.01724336,40.70792322
1,2 s e ave,-74.01724336,40.70792322
1,40 fulton st,-74.00475057,40.70788237
1,40 fulton st,-74.00475057,40.70788237
1,40 fulton st,-74.00475057,40.70788237
1,40 fulton st,-74.00475057,40.70788237
1,40 fulton st,-74.00475057,40.70788237
1,24 peck slip,-74.00193756,40.70786875
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,28 liberty st,-74.0091235,40.70776986
1,18 pine st,-74.00973277,40.70772903
1,117 beekman st,-74.00339893,40.70772656
1,117 beekman st,-74.00339893,40.70772656
1,117 beekman st,-74.00339893,40.70772656
1,117 beekman st,-74.00339893,40.70772656
1,46 trinity pl,-74.01340308,40.7076677
1,46 trinity pl,-74.01340308,40.7076677
1,130 beekman st,-74.0028093,40.70762965
1,99 battery pl,-74.01659321,40.70762447
1,99 battery pl,-74.01659321,40.70762447
1,99 battery pl,-74.01659321,40.70762447
1,99 battery pl,-74.01659321,40.70762447
1,116 john st,-74.00589138,40.70746922
1,2 gold st,-74.00693106,40.70741168
1,2 gold st,-74.00693106,40.70741168
1,2 gold st,-74.00693106,40.70741168
1,2 gold st,-74.00693106,40.70741168
1,2 gold st,-74.00693106,40.70741168
